STATIONSAFKORTING,STATIONS_NAAM,GEMEENTE,REGIO_RSV_NAAM,REGIO_SSVO_NAAM,IND_BACKUP_VENS,IND_STANDPLAATS_VENS,GELDIGVANAF,GELDIGTM,IND_HUIDIG
Gnd,Hardinxveld-Giessendam,Hardinxveld-Giessendam,RSV Randstad Zuid,Rotterdam,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Wsm,Winsum,Het Hogeland,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Bdg,Bodegraven,Bodegraven-Reeuwijk,RSV Randstad Noord,Utrecht,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Ah,Arnhem Centraal,Arnhem,RSV Noord-Oost,Arnhem-Nijmegen,1,1,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Rsw,Rijswijk,Rijswijk,RSV Randstad Zuid,Den Haag,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Vp,Velp,Rheden,RSV Noord-Oost,Arnhem-Nijmegen,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Nmgo,Nijmegen Goffert,Nijmegen,RSV Noord-Oost,Arnhem-Nijmegen,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Zp,Zutphen,Zutphen,RSV Noord-Oost,Twente-IJssel,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Emnz,Emmen Zuid,Emmen,RSV Noord-Oost,PE Noord,0,0,2022-04-11 00:00:00.000000,8888-12-31 23:59:59.999999,1
Bde,Bunde,Meerssen,RSV Zuid,Zuid- en Midden-Limburg,0,0,2026-06-14 00:00:00.000000,8888-12-31 23:59:59.999999,1
Hks,Hoogkarspel,Drechterland,RSV Randstad Noord,Alkmaar,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Drp,Dronryp,Waadhoeke,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Zh,Zuidhorn,Westerkwartier,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Vndw,Veenendaal West,Veenendaal,RSV Randstad Noord,Utrecht,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Akm,Akkrum,Heerenveen,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Utg,Uitgeest,Uitgeest,RSV Randstad Noord,Alkmaar,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Hfd,Hoofddorp,Haarlemmermeer,RSV Randstad Noord,Amsterdam,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Zv,Zevenaar,Zevenaar,RSV Noord-Oost,Arnhem-Nijmegen,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Fwd,Feanwalden,Dantumadiel,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Gbr,Glanerbrug,Enschede,RSV Noord-Oost,Twente-IJssel,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Lp,Loppersum,Loppersum,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Ldm,Leerdam,Vijfheerenlanden,RSV Randstad Zuid,Rotterdam,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Tbg,Terborg,Oude IJsselstreek,RSV Noord-Oost,Twente-IJssel,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Zb,Zuidbroek,Midden-Groningen,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Hglo,Hengelo Oost,Hengelo,RSV Noord-Oost,Twente-IJssel,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Vss,Vlissingen Souburg,Vlissingen,RSV Zuid,West-Brabant en Zeeland,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Hm,Helmond,Helmond,RSV Zuid,Oost-Brabant en Noord-Limburg,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Hvsp,Hilversum Sportpark,Hilversum,RSV Noord-Oost,Amersfoort,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Gvmw,Den Haag Moerwijk,'s-Gravenhage,RSV Randstad Zuid,Den Haag,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Btl,Boxtel,Boxtel,RSV Zuid,Oost-Brabant en Noord-Limburg,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Dtch,Doetinchem De Huet,Doetinchem,RSV Noord-Oost,Arnhem-Nijmegen,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Dv,Deventer,Deventer,RSV Noord-Oost,Twente-IJssel,1,1,2023-01-02 00:00:00.000000,8888-12-31 23:59:59.999999,1
Bll,Bloemendaal,Bloemendaal,RSV Randstad Noord,Amsterdam,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Hnk,Hoorn Kersenboogerd,Hoorn,RSV Randstad Noord,Alkmaar,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Almm,Almere Muziekwijk,Almere,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Bp,Buitenpost,Achtkarspelen,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Rtn,Rotterdam Noord,Rotterdam,RSV Randstad Zuid,Rotterdam,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Gk,Grijpskerk,Westerkwartier,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Gr,Gorinchem,Gorinchem,RSV Randstad Zuid,Rotterdam,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Twl,Twello,Voorst,RSV Noord-Oost,Twente-IJssel,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Stz,Soest Zuid,Soest,RSV Noord-Oost,Amersfoort,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Bmn,Brummen,Brummen,RSV Noord-Oost,Twente-IJssel,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Gv,Den Haag HS,'s-Gravenhage,RSV Randstad Zuid,Den Haag,1,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Apd,Apeldoorn,Apeldoorn,RSV Noord-Oost,Twente-IJssel,1,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Zbm,Zaltbommel,Zaltbommel,RSV Zuid,Oost-Brabant en Noord-Limburg,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Hgv,Hoogeveen,Hoogeveen,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Kw,Kropswolde,Midden-Groningen,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Utln,Utrecht Lunetten,Utrecht,RSV Randstad Noord,Utrecht,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Kpnz,Kampen Zuid,Kampen,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Rs,Rosmalen,'s-Hertogenbosch,RSV Zuid,Oost-Brabant en Noord-Limburg,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Dl,Dalfsen,Dalfsen,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Bnc,Barneveld Centrum,Barneveld,RSV Noord-Oost,Arnhem-Nijmegen,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Nsch,Bad Nieuweschans,Oldambt,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Da,Daarlerveen,Hellendoorn,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Dron,Dronten,Dronten,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Www,Winterswijk West,Winterswijk,RSV Noord-Oost,Arnhem-Nijmegen,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Dwe,De Westereen,Dantumadiel,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Asdz,Amsterdam Zuid,Amsterdam,RSV Randstad Noord,Amsterdam,0,0,2022-12-19 00:00:00.000000,8888-12-31 23:59:59.999999,1
Did,Didam,Montferland,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Mt,Maastricht,Maastricht,RSV Zuid,Zuid- en Midden-Limburg,0,0,2022-09-26 00:00:00.000000,8888-12-31 23:59:59.999999,1
Gln,Geleen Oost,Sittard-Geleen,RSV Zuid,Zuid- en Midden-Limburg,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Nh,Nuth,Beekdaelen,RSV Zuid,Zuid- en Midden-Limburg,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Rd,Roodeschool,Het Hogeland,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Wadt,Waddinxveen Triangel,Waddinxveen,RSV Randstad Noord,Utrecht,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Dei,Deinum,Waadhoeke,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Hze,Heeze,Heeze-Leende,RSV Zuid,Oost-Brabant en Noord-Limburg,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Db,Driebergen-Zeist,Utrechtse Heuvelrug,RSV Randstad Noord,Utrecht,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Br,Blerick,Venlo,RSV Zuid,Zuid- en Midden-Limburg,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Nvd,Nijverdal,Hellendoorn,RSV Noord-Oost,Twente-IJssel,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Esk,Enschede Kennispark,Enschede,RSV Noord-Oost,Twente-IJssel,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Wm,Wormerveer,Zaanstad,RSV Randstad Noord,Alkmaar,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Ut,Utrecht Centraal,Utrecht,RSV Randstad Noord,Utrecht,1,1,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Etn,Etten-Leur,Etten-Leur,RSV Zuid,West-Brabant en Zeeland,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Hdg,Hurdegaryp,Tytsjerksteradiel,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Hlms,Haarlem Spaarnwoude,Haarlem,RSV Randstad Noord,Amsterdam,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Hk,Heemskerk,Heemskerk,RSV Randstad Noord,Alkmaar,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Ovn,Overveen,Bloemendaal,RSV Randstad Noord,Amsterdam,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Bv,Beverwijk,Beverwijk,RSV Randstad Noord,Alkmaar,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Dtc,Doetinchem,Doetinchem,RSV Noord-Oost,Arnhem-Nijmegen,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Rv,Reuver,Beesel,RSV Zuid,Zuid- en Midden-Limburg,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Aml,Almelo,Almelo,RSV Noord-Oost,Twente-IJssel,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Cl,Culemborg,Culemborg,RSV Randstad Noord,Utrecht,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Vd,Vorden,Bronckhorst,RSV Noord-Oost,Twente-IJssel,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Zzs,Zaandijk Zaanse Schans,Zaanstad,RSV Randstad Noord,Alkmaar,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Ed,Ede-Wageningen,Ede,RSV Noord-Oost,Arnhem-Nijmegen,0,0,2022-03-22 00:00:00.000000,8888-12-31 23:59:59.999999,1
Za,Zetten-Andelst,Overbetuwe,RSV Noord-Oost,Arnhem-Nijmegen,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Gdg,Gouda Goverwelle,Gouda,RSV Randstad Noord,Utrecht,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Bf,Baflo,Het Hogeland,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Srn,Susteren,Echt-Susteren,RSV Zuid,Zuid- en Midden-Limburg,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Gz,Gilze-Rijen,Gilze en Rijen,RSV Zuid,West-Brabant en Zeeland,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Hbzm,Hardinxveld Blauwe Zoom,Sliedrecht,RSV Randstad Zuid,Rotterdam,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Hmh,Helmond 't Hout,Helmond,RSV Zuid,Oost-Brabant en Noord-Limburg,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Ndb,Naarden-Bussum,Gooise Meren,RSV Noord-Oost,Amersfoort,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Dmnz,Diemen Zuid,Diemen,RSV Randstad Noord,Amsterdam,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Hwd,Heerhugowaard,Heerhugowaard,RSV Randstad Noord,Alkmaar,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Bn,Borne,Borne,RSV Noord-Oost,Twente-IJssel,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Nml,Nijmegen Lent,Nijmegen,RSV Noord-Oost,Arnhem-Nijmegen,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Ktr,Kesteren,Neder-Betuwe,RSV Noord-Oost,Arnhem-Nijmegen,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Rsn,Rijssen,Rijssen-Holten,RSV Noord-Oost,Twente-IJssel,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Wtv,Westervoort,Westervoort,RSV Noord-Oost,Arnhem-Nijmegen,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Hvsm,Hilversum Media Park,Hilversum,RSV Noord-Oost,Amersfoort,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Brn,Baarn,Baarn,RSV Noord-Oost,Amersfoort,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Bd,Breda,Breda,RSV Zuid,West-Brabant en Zeeland,1,1,2022-06-20 00:00:00.000000,8888-12-31 23:59:59.999999,1
Hrn,Haren,Groningen,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Wfm,Warffum,Het Hogeland,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Sm,Swalmen,Roermond,RSV Zuid,Zuid- en Midden-Limburg,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Es,Enschede,Enschede,RSV Noord-Oost,Twente-IJssel,0,0,2022-09-26 00:00:00.000000,8888-12-31 23:59:59.999999,1
Gdm,Geldermalsen,West Betuwe,RSV Randstad Noord,Utrecht,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Edn,Eijsden,Eijsden-Margraten,RSV Zuid,Zuid- en Midden-Limburg,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Eem,Eemshaven,Delfzijl,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Hdrz,Den Helder Zuid,Den Helder,RSV Randstad Noord,Alkmaar,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Bsmz,Bussum Zuid,Gooise Meren,RSV Noord-Oost,Amersfoort,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Edc,Ede Centrum,Ede,RSV Noord-Oost,Arnhem-Nijmegen,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Hon,Holten,Rijssen-Holten,RSV Noord-Oost,Twente-IJssel,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Apg,Appingedam,Appingedam,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Almo,Almere Oostvaarders,Almere,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Rtz,Rotterdam Zuid,Rotterdam,RSV Randstad Zuid,Rotterdam,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Co,Coevorden,Coevorden,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Dz,Delfzijl,Delfzijl,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Hgl,Hengelo,Hengelo,RSV Noord-Oost,Twente-IJssel,1,1,2022-04-19 00:00:00.000000,8888-12-31 23:59:59.999999,1
Mmlh,Mook Molenhoek,Mook en Middelaar,RSV Zuid,Zuid- en Midden-Limburg,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Ddr,Dordrecht,Dordrecht,RSV Randstad Zuid,Rotterdam,1,0,2022-04-05 00:00:00.000000,8888-12-31 23:59:59.999999,1
Bkf,Bovenkarspel Flora,Stede Broec,RSV Randstad Noord,Alkmaar,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Vem,Voorst-Empe,Voorst,RSV Noord-Oost,Twente-IJssel,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Obd,Obdam,Koggenland,RSV Randstad Noord,Alkmaar,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Wh,Wijhe,Olst-Wijhe,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Wd,Woerden,Woerden,RSV Randstad Noord,Utrecht,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Wv,Wolvega,Weststellingwerf,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Ana,Anna Paulowna,Hollands Kroon,RSV Randstad Noord,Alkmaar,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Sk,Sneek,Súdwest-Fryslân,RSV Noord-Oost,PE Noord,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Ww,Winterswijk,Winterswijk,RSV Noord-Oost,Arnhem-Nijmegen,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Rta,Rotterdam Alexander,Rotterdam,RSV Randstad Zuid,Rotterdam,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Est,Elst,Overbetuwe,RSV Noord-Oost,Arnhem-Nijmegen,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
Hil,Hillegom,Hillegom,RSV Randstad Zuid,Den Haag,0,0,2021-10-18 00:00:00.000000,8888-12-31 23:59:59.999999,1
